train dataset: size=96000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=5500
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 207/1000, train: loss=0.0030, val: psnr=41.3555, 4.2m 14.7h/70.8h
epoch 208/1000, train: loss=0.0030, val: psnr=41.2639, 4.2m 14.7h/70.8h
epoch 209/1000, train: loss=0.0030, val: psnr=41.4853, 4.2m 14.8h/70.8h
epoch 210/1000, train: loss=0.0030, val: psnr=41.4839, 4.2m 14.9h/70.8h
epoch 211/1000, train: loss=0.0030, val: psnr=41.4732, 4.2m 14.9h/70.8h
epoch 212/1000, train: loss=0.0030, val: psnr=41.6498, 4.2m 15.0h/70.8h
epoch 213/1000, train: loss=0.0030, val: psnr=41.5773, 4.2m 15.1h/70.8h
epoch 214/1000, train: loss=0.0030, val: psnr=41.5982, 4.2m 15.2h/70.8h
epoch 215/1000, train: loss=0.0029, val: psnr=41.6293, 4.2m 15.2h/70.8h
epoch 216/1000, train: loss=0.0030, val: psnr=41.5074, 4.2m 15.3h/70.8h
epoch 217/1000, train: loss=0.0029, val: psnr=41.4192, 4.2m 15.4h/70.8h
epoch 218/1000, train: loss=0.0029, val: psnr=41.3867, 4.2m 15.4h/70.8h
epoch 219/1000, train: loss=0.0029, val: psnr=41.4729, 4.2m 15.5h/70.8h
epoch 220/1000, train: loss=0.0030, val: psnr=41.3638, 4.2m 15.6h/70.8h
epoch 221/1000, train: loss=0.0029, val: psnr=41.7660, 4.2m 15.6h/70.8h
epoch 222/1000, train: loss=0.0029, val: psnr=41.6154, 4.2m 15.7h/70.8h
epoch 223/1000, train: loss=0.0030, val: psnr=41.5222, 4.2m 15.8h/70.8h
epoch 224/1000, train: loss=0.0029, val: psnr=41.4497, 4.2m 15.9h/70.8h
epoch 225/1000, train: loss=0.0029, val: psnr=41.3023, 4.2m 15.9h/70.8h
epoch 226/1000, train: loss=0.0029, val: psnr=41.5927, 4.2m 16.0h/70.8h
epoch 227/1000, train: loss=0.0029, val: psnr=41.4937, 4.2m 16.1h/70.8h
epoch 228/1000, train: loss=0.0030, val: psnr=41.4872, 4.2m 16.1h/70.8h
epoch 229/1000, train: loss=0.0029, val: psnr=41.6639, 4.2m 16.2h/70.8h
epoch 230/1000, train: loss=0.0029, val: psnr=41.7063, 4.2m 16.3h/70.8h
epoch 231/1000, train: loss=0.0029, val: psnr=41.6757, 4.2m 16.3h/70.8h
epoch 232/1000, train: loss=0.0029, val: psnr=41.8890, 4.2m 16.4h/70.7h
epoch 233/1000, train: loss=0.0029, val: psnr=41.8121, 4.2m 16.5h/70.7h
epoch 234/1000, train: loss=0.0029, val: psnr=41.5860, 4.2m 16.6h/70.7h
epoch 235/1000, train: loss=0.0029, val: psnr=41.6502, 4.2m 16.6h/70.7h
epoch 236/1000, train: loss=0.0029, val: psnr=41.8780, 4.2m 16.7h/70.7h
epoch 237/1000, train: loss=0.0029, val: psnr=41.5751, 4.2m 16.8h/70.7h
epoch 238/1000, train: loss=0.0029, val: psnr=41.8387, 4.2m 16.8h/70.7h
epoch 239/1000, train: loss=0.0029, val: psnr=41.3887, 4.2m 16.9h/70.7h
epoch 240/1000, train: loss=0.0029, val: psnr=41.6586, 4.2m 17.0h/70.7h
epoch 241/1000, train: loss=0.0029, val: psnr=41.3054, 4.2m 17.0h/70.7h
